종목코드,종목명,종가,대비,등락률,상장시가총액
"018880","한온시스템","5010","-10","-0.20","2674338.0"
"004990","롯데지주","24850","100","0.40","2606995.0"
"138930","BNK금융지주","8050","20","0.25","2592812.0"
"081660","휠라홀딩스","40000","0","0.00","2403834.0"
"002380","KCC","282000","2000","0.71","2505985.0"
"383220","F&F","65400","300","0.46","2505283.0"
"204320","HL만도","46000","750","1.66","2160028.0"
"000120","CJ대한통운","98700","-200","-0.20","2251578.0"
"007070","GS리테일","21500","150","0.70","2251435.0"
"028670","팬오션","4195","130","3.20","2242519.0"
"008930","한미사이언스","32450","800","2.53","2219306.0"
"012750","에스원","58800","100","0.17","2234352.0"
"008770","호텔신라","55400","100","0.18","2174346.0"
"112610","씨에스윈드","46350","200","0.43","1954645.0"
"192820","코스맥스","185200","-1900","-1.02","2101929.0"
"000880","한화","26350","-50","-0.19","1975163.0"
"030000","제일기획","18160","10","0.06","2089149.0"
"014680","한솔케미칼","185300","-600","-0.32","2100412.0"
"026960","동서","19860","60","0.30","1980042.0"
"005850","에스엘","43850","-350","-0.79","2036768.0"
"073240","금호타이어","6620","60","0.91","1901663.0"
"103140","풍산","62200","3500","5.96","1743110.0"
"280360","롯데웰푸드","194800","6300","3.34","1837855.0"
"282330","BGF리테일","110400","-900","-0.81","1908143.0"
"023530","롯데쇼핑","64900","1300","2.04","1835940.0"
"009420","한올바이오파마","33550","550","1.67","1752673.0"
"010060","OCI홀딩스","90500","700","0.78","1770540.0"
"017800","현대엘리베이","44450","500","1.14","1737657.0"
"007310","오뚜기","461500","3000","0.65","1849614.0"
"004170","신세계","158300","1600","1.02","1558492.0"
"004490","세방전지","110300","-2100","-1.87","1544200.0"
"011210","현대위아","58900","-300","-0.51","1601790.0"
"042670","HD현대인프라코어","8100","110","1.38","1616788.0"
"047040","대우건설","3840","135","3.64","1595991.0"
"051600","한전KPS","37250","50","0.13","1676250.0"
"139480","이마트","57600","700","1.23","1605647.0"
"161890","한국콜마","71000","2400","3.50","1675960.0"
"298020","효성티앤씨","349500","-3500","-0.99","1512525.0"
"298050","효성첨단소재","353000","3500","1.00","1581422.0"
"457190","이수스페셜티케미컬","51900","-700","-1.33","1567810.0"
"006280","녹십자","117100","2000","1.74","1368494.0"
"375500","DL이앤씨","34250","250","0.74","1325257.0"
"000240","한국앤컴퍼니","15230","20","0.13","1445864.0"
"336260","두산퓨얼셀","22300","200","0.90","1460510.0"
"002710","TCC스틸","57300","1300","2.32","1502045.0"
"185750","종근당","101100","700","0.70","1331934.0"
"139130","DGB금융지주","7930","0","0.00","1341326.0"
"111770","영원무역","33950","500","1.49","1504374.0"
"014820","동원시스템즈","49250","900","1.86","1427821.0"
"000080","하이트진로","21300","100","0.47","1493846.0"
"001120","LX인터내셔널","28850","300","1.05","1118226.0"
"000210","DL","55600","-200","-0.36","1165147.0"
"145720","덴티움","109300","-400","-0.36","1209823.0"
"137310","에스디바이오센서","10230","70","0.69","1273403.0"
"069960","현대백화점","48750","700","1.46","1140869.0"
"069620","대웅제약","103100","100","0.10","1194576.0"
"009970","영원무역홀딩스","81400","200","0.25","1109937.0"
"009240","한샘","54800","0","0.00","1289659.0"
"006360","GS건설","15080","180","1.21","1290569.0"
"006110","삼아알미늄","81700","300","0.37","1201964.0"
"005420","코스모화학","29050","-150","-0.51","1115759.0"
"005300","롯데칠성","138600","-100","-0.07","1286053.0"
"004800","효성","57200","-100","-0.17","1170674.0"
"004000","롯데정밀화학","44950","300","0.67","1159710.0"
"192080","더블유게임즈","44500","0","0.00","956568.0"
"003620","KG모빌리티","5340","0","0.00","1042651.0"
"120110","코오롱인더","39200","600","1.55","1078748.0"
"300720","한일시멘트","13660","40","0.29","946113.0"
"001680","대상","29000","300","1.05","1004793.0"
"008730","율촌화학","37700","-1000","-2.58","934960.0"
"001740","SK네트웍스","4920","50","1.03","1088687.0"
"039130","하나투어","57500","500","0.88","922253.0"
"001800","오리온홀딩스","15160","90","0.60","949705.0"
"003090","대웅","16220","-30","-0.18","943063.0"
"105630","한세실업","20900","100","0.48","836000.0"
"271940","일진하이솔루스","22900","50","0.22","831572.0"
"178920","PI첨단소재","25950","-300","-1.14","762056.0"
"003030","세아제강지주","197300","-3200","-1.60","817149.0"
"001430","세아베스틸지주","20850","-300","-1.42","747725.0"
"114090","GKL","12800","-40","-0.31","791753.0"
"006650","대한유화","138500","200","0.14","900250.0"
"093370","후성","7580","0","0.00","812995.0"
"285130","SK케미칼","51400","400","0.78","886844.0"
"009900","명신산업","14720","-110","-0.74","772360.0"
"069260","TKG휴켐스","19140","-20","-0.10","782416.0"
"032350","롯데관광개발","9680","60","0.62","737579.0"
"000670","영풍","351000","3000","0.86","646556.0"
"016380","KG스틸","6600","20","0.30","660059.0"
"005250","녹십자홀딩스","14520","20","0.14","682850.0"
