종목코드,2023_SGR,2022_SGR,2021_SGR
005930,-19.584597132349945,6.06913610050388,20.102985132251263
000660,-27.030236703747402,-8.851957958711354,36.142030134197924
373220,16.12820216471944,26.161951474480418,1225.1299462520183
005380,19.485116374858656,17.450245588895406,9.759218737916008
207940,20.5749159466893,55.438478507626776,34.618652166189975
000270,26.094181863321264,13.250873545037201,19.257261011455952
068270,-3.305303131230264,19.90478200802539,-4.376120016574092
005490,-83.0720618484015,,50.585894505656114
105560,,,
035420,1.7634677789018616,9.841637210832666,21.61662495513623
006400,,50.73941217444287,27.25266079517197
051910,-11.882145801259403,14.325390536994597,-1.7233069846489313
028260,-7.319735144441708,25.027562554514905,10.643759867793623
055550,,,
003670,46.55640129588503,56.8058467781029,27.253180621148545
012330,14.443130151717742,24.602683896020118,19.055415014139076
035720,1.7507473584732924,,
086790,,,
066570,3.873570951605565,2.494675793270562,12.299190442982333
000810,,,
032830,,,
138040,164.8693440068607,,
011200,-55.341858000338476,34.873616878462684,119.54827999737785
015760,24.472325827183038,15.57300127722483,2.881888262011967
003550,-3.4602468326268676,7.856955221467832,-2.6020417200517176
018260,-0.14909804902553114,3.787651531459213,9.589902533503025
034020,25.876406884491065,47.080796209008156,4.097908992271759
259960,3.9976706447779176,,
034730,22.768402959952326,22.55827892415303,-20.85352149002413
009150,-5.9636918483087715,0.6288367109807513,30.332425577677526
329180,31.908700117953614,9.168505423702067,-0.074428883850719
033780,-2.914227587039475,5.841707871492385,1.603068943148811
017670,1.406667704155784,2.5759099318093392,3.0323590680901624
024110,,,
323410,55.314699642110064,,
090430,-15.134173172798981,-17.28721455190404,15.19023012284142
012450,154.45276738989503,59.76565292118643,15.551499309728722
316140,,,
010130,-9.779374341583324,12.828911383636065,26.721809440171953
402340,-69.95914984311172,,
267260,,17.727740300091945,-0.764679568113924
096770,25.504809612637438,-50.23834616263745,-4.950100142556336
030200,0.44941171157275583,-0.5340114341131019,2.842133305024963
009540,49.53293501378175,-7.831512461529966,13.60581451975602
042660,54.14071018676134,7.405574754085298,-36.29974328864286
047050,-12.372416491644367,6.677389987848437,58.79286568266542
352820,9.693458416385624,4.318203274486332,18.367086048752434
010140,35.023345508409065,-10.491557959180431,-4.1447443764531355
003490,8.666278690000784,53.228457359372115,18.20945001887322
010950,-16.103089888756905,54.45275573054229,62.551656645655854
005830,,,
086280,-9.424638656817308,22.51376849626574,36.117425007062145
326030,44.553741617881904,-52.78671909006519,622.4763408676532
450080,43.18313116234245,94.01311347280765,
000100,4.791422546179636,6.294506698296831,3.5838307304858708
051900,-7.483047800403586,-23.66406872663932,12.174271224673694
010120,31.567390672138607,21.626458884954182,1.2327182407489534
022100,30.36195531020236,32.107013942399455,-10.318153618752646
011070,5.847074961960974,30.819721502539178,57.09808089349468
011790,-17.874836468906665,91.55456549297556,-0.7467578605519609
241560,,704.9676668324778,-85.36834362358285
161390,-12.867836001011689,19.088965868523267,1.8460739782635516
267250,67.9295982723699,36.838589804715085,-32.50078001390882
251270,-17.175525109213396,-27.05305242561986,-4.268173434010825
034220,-17.90280637840549,-14.925982148227213,24.41148452408988
009830,-21.13940017596295,30.973664459018924,29.355863266453454
097950,-3.769003549712824,15.40001729885747,13.630876819329574
047810,37.02841514722599,8.77561003512579,-9.375908099600505
011170,-17.325854993076682,18.614946381175447,49.805129821484286
001570,-20.845610550178595,-2.3543369017628213,45.144605640465386
006260,-33.27311437755974,,
029780,8.101024248230914,,
028050,-6.599638653017658,31.210083971945956,1.2984324766433186
036570,-32.758742981971764,12.785277196645083,-5.043811249523122
003230,31.781551509309615,32.076396148398125,-0.9280117224585882
180640,,,
377300,15.093342115259013,,
032640,3.575320056559561,-0.17676228475620448,3.65358553257098
021240,-1.936024654390922,-0.04118573702507344,8.566911888519591
011780,-17.509981004798757,-7.533271191372426,57.64250137930762
006800,-0.5333236882566594,,
036460,-14.848906266444262,92.30880066687862,30.756482162698838
064350,12.650702389316448,10.374522424665255,5.102168369986848
005940,,,
302440,-19.096863313129496,,311.77150750919697
004020,-8.693468893414503,18.384842716436943,28.413746199878666
078930,78.34370485017803,144.35182374116323,-24.720685894882564
128940,11.699777517146481,7.0915667431620255,5.1138186993291646
071050,171.5853241301374,,
079550,3.9148847452785462,21.765810427301947,13.791477842377686
001040,-8.989503644297315,,
000720,31.726607359749103,16.905238615053307,9.937669210663014
271560,13.936675068582428,16.317237007980555,4.95936135049424
039490,6.935127584405554,,
035250,9.303490247915303,61.22105549787085,64.90446545668136
016360,,,
000150,-8.368208326657944,,
272210,12.031591952516308,4.685569716408278,28.043488317092404
003410,9.353838185189778,16.38743545437331,15.072474474749932
361610,2.9541214061702625,-21.300402492074433,-14.212626146585883
001440,18.494248723284002,18.18002342126619,28.505466388303713
001450,,,
010620,8.265977169506833,29.321584552626835,2.7709526502037285
004370,8.739928032011024,13.95325115749464,-0.14807122566992126
002790,-72.1682846323285,,
383220,4.833091788086019,49.336270793886364,
052690,7.8768506523107185,16.66120877198143,0.32521197553410097
138930,,,
018880,10.262396467328117,11.954256343112624,6.745842937197555
002380,11.023074401240862,18.154467285562802,10.364500538745403
004990,-12.36900818029798,,
175330,,,
088350,,,
081660,-5.168413698843066,,
028670,-33.13767028053595,40.08697983568836,93.50557208039393
204320,4.316691312568155,-8.693814334841154,-3.7876332867698648
000120,-1.414744378720989,6.288386342959873,11.42608292857641
020150,5.008058217319666,-11.48281463753028,20.96116098687293
008770,-49.536469958602055,26.247013324556146,20.062891778943246
008930,224.27461724043803,58.24187370813472,2.1868805144054093
