종목코드,2023_SGR
005930,-19.584597132349945
000660,-27.030236703747402
373220,16.12820216471944
005380,19.485116374858656
207940,20.5749159466893
000270,26.094181863321264
068270,-3.305303131230264
005490,-83.0720618484015
105560,
035420,1.7634677789018616
006400,
051910,-11.882145801259403
028260,-7.319735144441708
055550,
003670,46.55640129588503
012330,14.443130151717742
035720,1.7507473584732924
086790,
066570,3.873570951605565
000810,
032830,
138040,164.8693440068607
011200,-55.341858000338476
015760,24.472325827183038
003550,-3.4602468326268676
018260,-0.14909804902553114
034020,25.876406884491065
259960,3.9976706447779176
034730,22.768402959952326
009150,-5.9636918483087715
329180,31.908700117953614
033780,-2.914227587039475
017670,1.406667704155784
024110,
323410,55.314699642110064
090430,-15.134173172798981
012450,154.45276738989503
316140,
010130,-9.779374341583324
402340,-69.95914984311172
267260,
096770,25.504809612637438
030200,0.44941171157275583
009540,49.53293501378175
042660,54.14071018676134
047050,-12.372416491644367
352820,9.693458416385624
010140,35.023345508409065
003490,8.666278690000784
010950,-16.103089888756905
005830,
086280,-9.424638656817308
326030,44.553741617881904
450080,43.18313116234245
000100,4.791422546179636
051900,-7.483047800403586
010120,31.567390672138607
022100,30.36195531020236
011070,5.847074961960974
011790,-17.874836468906665
241560,
161390,-12.867836001011689
267250,67.9295982723699
251270,-17.175525109213396
034220,-17.90280637840549
009830,-21.13940017596295
097950,-3.769003549712824
047810,37.02841514722599
011170,-17.325854993076682
001570,-20.845610550178595
006260,-33.27311437755974
029780,8.101024248230914
028050,-6.599638653017658
036570,-32.758742981971764
003230,31.781551509309615
180640,
377300,15.093342115259013
032640,3.575320056559561
021240,-1.936024654390922
011780,-17.509981004798757
006800,-0.5333236882566594
036460,-14.848906266444262
064350,12.650702389316448
005940,
302440,-19.096863313129496
004020,-8.693468893414503
078930,78.34370485017803
128940,11.699777517146481
071050,171.5853241301374
079550,3.9148847452785462
001040,-8.989503644297315
000720,31.726607359749103
271560,13.936675068582428
039490,6.935127584405554
035250,9.303490247915303
016360,
000150,-8.368208326657944
272210,12.031591952516308
003410,9.353838185189778
361610,2.9541214061702625
001440,18.494248723284002
001450,
010620,8.265977169506833
004370,8.739928032011024
002790,-72.1682846323285
383220,4.833091788086019
052690,7.8768506523107185
138930,
018880,10.262396467328117
002380,11.023074401240862
004990,-12.36900818029798
175330,
088350,
081660,-5.168413698843066
028670,-33.13767028053595
204320,4.316691312568155
000120,-1.414744378720989
020150,5.008058217319666
008770,-49.536469958602055
008930,224.27461724043803
012750,6.199239149043301
007070,4.584022016704936
030000,-2.8444486967516003
073240,6.497982877749298
112610,-55.99898338022483
282330,7.3099241717511365
014680,-11.252256787230397
026960,-12.696453779709438
010060,3360.2344901698743
192820,23.836321016902986
000880,85.21881221930836
023530,
000990,-36.31171413468679
139480,-2.2273808561733444
103140,-4.8081589130514075
005850,12.923155065974257
009420,22.650414782549788
007310,4.077824551525255
004490,6.202173612433803
011210,8.294573515780247
017800,13.59726148731728
004170,2.4683010550640594
002710,-10.584155303498367
000240,-0.0776911643896705
298050,-22.847901054626718
298020,-16.990589470757676
280360,35.06330927834209
161890,18.230948459383356
111770,-9.032664184412987
051600,6.810925833929549
047040,12.9314708635909
336260,-16.42247217202143
042670,0.869632502965878
000080,1.1064462224456673
006110,-12.486129385150724
006280,-2.8188394507958403
006360,8.871108907166159
009240,-3.3835210270436122
014820,-10.867000281022587
069620,5.22688965050806
139130,
185750,12.041818726418096
375500,-2.0386643124037263
003620,10.412327144260146
001740,-7.924468381928729
000210,-50.33244676144534
009970,
001120,-14.99725185124612
005420,-27.664303578010006
069960,5.07202839155565
004000,-28.252133683838277
004800,-28.90363294008256
005300,4.352771724023907
145720,11.273415622744064
137310,-89.65984015890842
120110,-7.778663992868074
006650,12.427748929172001
300720,19.26115989296253
285130,-1.839489022812446
003090,
271940,-27.814849522178264
001800,10.411227536764734
008730,-8.640029134850181
192080,-10.909954277817647
039130,390.00328229057624
178920,-21.270783967656413
114090,51.34592875455255
105630,-22.720784255061066
093370,-32.09705918136345
069260,-14.81979043670404
032350,24.503996253443194
020560,16.023215509423473
019170,
016380,-10.570509120750483
010780,-22.171561743420465
009900,-7.362047091378621
001680,3.201046466579527
001430,-91.52906617321614
000670,-13.768586100400604
005250,-10.578309352812344
